,gene,highly_variable_rank
412,ACACA,154.0
413,PLXDC1,171.0
414,FKBP10,50.0
415,CAVIN1,101.0
416,VAT1,193.0
417,FMNL1,155.0
418,COL1A1,45.0
419,MTMR4,121.0
420,ERN1,105.0
421,PECAM1,109.0
422,ATP5PD,121.0
423,SRSF2,127.0
424,MFSD11,128.0
425,SYNGR2,165.0
426,SOCS3,170.5
427,TIMP2,158.0
428,P4HB,95.0
429,SLC16A3,201.0
430,SMCHD1,163.5
431,NPC1,40.0
432,SMAD7,157.0
433,ACAA2,143.0
434,CYB5A,95.0
435,CNDP2,172.0
436,ARHGAP45,173.0
437,GPX4,182.0
438,MIDN,107.0
439,CIRBP,78.0
440,GADD45B,93.0
441,TLE2,118.0
442,ACP5,126.0
443,JUNB,73.0
444,DNASE2,105.0
445,DNAJB1,121.5
446,PLVAP,98.0
447,IFI30,107.0
448,COX7A1,70.0
449,SPINT2,185.0
450,PPP1R14A,188.0
451,C19orf33,144.0
452,ECH1,165.0
453,LTBP4,147.5
454,ARHGEF1,204.0
455,BCAM,145.0
456,APOE,108.0
457,APOC1,24.0
458,NOP53,191.0
459,PPP1R15A,154.5
460,FTL,122.0
461,SNRNP70,205.0
462,CD37,118.0
463,ATF5,171.0
464,CDC42EP5,73.0
465,RDH13,186.0
466,ACSS1,86.0
467,MYL9,54.0
468,RPN2,154.0
469,SRC,119.0
470,ADA,100.0
471,PABPC1L,209.0
472,STK4,122.0
473,WFDC2,85.5
474,PLTP,171.0
475,ZMYND8,126.5
476,NPEPL1,206.0
477,CTSZ,172.0
478,PRELID3B,127.0
479,TNFRSF6B,140.0
480,ADAMTS1,62.0
481,CSTB,63.0
482,CLDN5,123.0
483,MIF,155.0
484,XBP1,31.0
485,TIMP3,138.0
486,HMOX1,161.0
487,APOL1,104.0
488,LGALS1,146.0
489,NDUFA6,175.0
490,PIM3,49.0
491,TMSB4X,120.0
492,TIMP1,114.5
493,WDR13,158.0
494,MSN,188.0
495,VSIG4,124.0
496,BGN,124.0
497,SSR4,112.0
498,FLNA,35.0
499,KDM5D,195.0
