,gene
315,FAM102B
1518,FAM114A1
1000,FAM126B
795,FAM136A
1586,FAM13A
1314,FAM162A
908,FAM168B
1786,FAM172A
1795,FAM174A
428,FAM189B
1477,FAM193A
1956,FAM193B
1500,FAM200B
514,FAM20B
1613,FAM241A
674,FAM49A
1851,FAM53C
726,FAM98A
1989,FARS2
1053,FARSB
1014,FASTKD2
1685,FAT1
1628,FAT4
68,FBLIM1
1124,FBLN2
1800,FBXL17
1499,FBXL5
758,FBXO11
597,FBXO28
71,FBXO42
57,FBXO44
1937,FBXW11
1651,FBXW7
480,FCER1G
481,FCGR2A
483,FCGR2B
482,FCGR3A
1764,FCHO2
1880,FCHSD1
430,FDPS
1811,FEM1C
1801,FER
728,FEZ2
1465,FGFRL1
125,FGR
181,FHL3
1279,FILIP1L
1539,FIP1L1
1253,FLNB
924,FMNL2
1023,FN1
1401,FNDC3B
1827,FNIP1
1659,FNIP2
712,FOSL2
196,FOXJ3
759,FOXN2
1269,FOXP1
1686,FRG1
1268,FRMD4B
1308,FSTL1
269,FUBP1
1410,FXR1
1725,FYB1
1181,FYCO1
1556,G3BP2
1642,GAB1
257,GADD45A
1461,GAK
1915,GALNT10
719,GALNT14
617,GALNT2
1657,GASK1B
403,GATAD2B
427,GBA
288,GBP1
289,GBP2
290,GBP4
939,GCA
872,GCC2
1387,GFM1
828,GGCX
1072,GIGYF2
1363,GK5
1151,GLB1
446,GLMP
1790,GLRX
981,GLS
524,GLUL
1231,GLYCTK
1910,GM2A
1978,GMDS
1049,GMPPA
1383,GMPS
1219,GNAI2
323,GNAI3
18,GNB1
1407,GNB4
258,GNG12
177,GNL2
1237,GNL3
620,GNPAT
1884,GNPDA1
1159,GOLGA4
1311,GOLGB1
1395,GOLIM4
1711,GOLPH3
374,GOLPH3L
435,GON4L
945,GORASP2
586,GPATCH2
449,GPATCH4
1741,GPBP1
214,GPBP1L1
1147,GPD1L
708,GPN1
119,GPN2
630,GPR137B
360,GPR89B
1587,GPRIN3
1906,GPX3
1490,GRPEL1
1894,GRPEL2
1552,GRSF1
1306,GSK3B
1604,GSTCD
285,GTF2B
703,GTF3C2
988,GTF3C3
1655,GUCY1A1
1531,GUF1
612,GUK1
1370,GYG1
895,GYPC
1340,H1FX
1846,H2AFY
606,H3F3A
44,H6PD
744,HAAO
1130,HACL1
1608,HADH
693,HADHA
694,HADHB
1874,HARS
1875,HARS2
1919,HAVCR1
1920,HAVCR2
1310,HCLS1
151,HDAC1
1879,HDAC3
453,HDGF
1091,HDLBP
633,HEATR1
730,HEATR5B
210,HECTD3
1323,HEG1
1222,HEMK1
1585,HERC3
1,HES4
1768,HEXB
186,HEYL
1824,HINT1
362,HIST2H2AB
1896,HMGXB3
916,HNMT
1849,HNRNPA0
960,HNRNPA3
1960,HNRNPAB
1569,HNRNPD
1570,HNRNPDL
1964,HNRNPH1
737,HNRNPLL
96,HNRNPR
642,HNRNPU
85,HP1BP3
666,HPCAL1
1669,HPF1
681,HS1BP3
282,HS2ST1
1578,HSD17B11
1817,HSD17B4
1835,HSPA4
1854,HSPA9
240,HSPB11
992,HSPD1
993,HSPE1
89,HSPG2
819,HTRA2
1482,HTT
1220,HYAL2
205,HYI
661,IAH1
590,IARS2
31,ICMT
656,ID2
99,ID3
1464,IDUA
458,IFI16
271,IFI44
270,IFI44L
126,IFI6
938,IFIH1
1341,IFT122
706,IFT172
1290,IFT57
1390,IFT80
1027,IGFBP2
1028,IGFBP5
1548,IGFBP7
841,IGKC
461,IGSF8
1872,IK
1110,IL17RC
868,IL1R1
412,IL6R
1740,IL6ST
1719,IL7R
400,ILF2
1082,ILKAP
834,IMMT
906,IMP4
1201,IMPDH2
1096,ING5
815,INO80B
1011,INO80D
856,INPP4A
179,INPP5B
1073,INPP5D
7,INTS11
1603,INTS12
401,INTS3
579,INTS7
1214,IP6K1
1195,IP6K2
549,IPO9
1312,IQCB1
1122,IQSEC1
1829,IRF1
1676,IRF2
2,ISG15
451,ISG20L2
1337,ISY1
1734,ITGA1
1735,ITGA2
966,ITGA4
950,ITGA6
1160,ITGA9
971,ITGAV
659,ITGB1BP1
251,ITGB3BP
1322,ITGB5
934,ITGB6
1066,ITM2C
1100,ITPR1
967,ITPRID2
686,ITSN2
536,IVNS1ABP
899,IWS1
1632,JADE1
1839,JADE2
1109,JAGN1
253,JAK1
407,JTB
245,JUN
848,KANSL3
1137,KAT2B
822,KCMF1
30,KCNAB2
675,KCNS3
585,KCTD3
94,KDM1A
1852,KDM3B
554,KDM5B
437,KHDC4
146,KHDRBS1
513,KIAA0040
1487,KIAA0232
166,KIAA0319L
1625,KIAA1109
1175,KIAA1143
154,KIAA1522
657,KIDINS220
50,KIF1B
1831,KIF3A
503,KIFAP3
457,KIRREL1
665,KLF11
1015,KLF7
555,KLHL12
1662,KLHL2
508,KLHL20
36,KLHL21
1415,KLHL24
1519,KLHL5
1414,KLHL6
1315,KPNA1
1392,KPNA4
147,KPNA6
837,KRCC1
424,KRTCAP2
286,KYAT3
1205,LAMB2
527,LAMC1
441,LAMTOR2
1594,LAMTOR3
1020,LANCL1
1502,LAP3
677,LAPTM4A
138,LAPTM5
1917,LARP1
1630,LARP1B
1615,LARP7
1889,LARS
717,LBH
718,LCLAT1
1505,LCORL
1936,LCP2
111,LDLRAP1
254,LEPROT
632,LGALS8
1776,LHFPL2
1723,LIFR
1527,LIMCH1
1179,LIMD1
873,LIMS1
900,LIMS2
355,LIX1L
1953,LMAN2
849,LMAN2L
1103,LMCD1
442,LMNA
283,LMO4
1793,LNPEP
1818,LOX
1693,LPCAT1
578,LPGAT1
671,LPIN1
1439,LPP
1649,LRBA
1456,LRCH3
1262,LRIG1
338,LRIG2
1483,LRPAP1
747,LRPPRC
259,LRRC40
218,LRRC41
27,LRRC47
1307,LRRC58
291,LRRC8D
1081,LRRFIP1
1158,LRRFIP2
175,LSM10
1647,LSM6
724,LTBP1
95,LUZP1
1388,LXN
587,LYPLAL1
1988,LYRM4
628,LYST
48,LZIC
184,MACF1
110,MACO1
1468,MAEA
1427,MAGEF1
1966,MAML1
346,MAN1A2
1803,MAN2A1
1485,MAN2B2
1599,MANBA
1224,MANF
1762,MAP1B
1429,MAP3K13
898,MAP3K2
951,MAP3K20
123,MAP3K6
1189,MAP4
867,MAP4K4
172,MAP7D1
571,MAPKAPK2
1223,MAPKAPK3
1702,MARCH6
932,MARCH7
152,MARCKSL1
1753,MAST4
827,MAT2A
1930,MAT2B
1857,MATR3
920,MBD5
1380,MBNL1
1413,MCCC1
1761,MCCC2
798,MCEE
755,MCFD2
373,MCL1
1787,MCTP1
777,MDH1
562,MDM4
176,MEAF6
137,MECR
1695,MED10
1503,MED28
203,MED8
24,MEGF6
879,MERTK
1592,METAP1
1017,METTL21A
1914,MFAP3
1059,MFF
1406,MFN1
60,MFN2
1389,MFSD1
1480,MFSD10
305,MFSD14A
1973,MGAT1
859,MGAT4A
1967,MGAT4B
910,MGAT5
1330,MGLL
1637,MGST2
491,MGST3
592,MIA3
14,MIB2
81,MICOS10
255,MIER1
267,MIGA1
380,MINDY1
860,MITD1
220,MKNK1
1120,MKRN2
922,MMADHC
811,MOB1A
994,MOB4
1736,MOCS2
816,MOGS
20,MORN1
739,MORN2
336,MOV10
497,MPC2
799,MPHOSPH10
523,MR1
1486,MRFAP1L1
1969,MRNIP
79,MRTO4
757,MSH2
1354,MSL2
1212,MST1
743,MTA3
1089,MTERF4
296,MTF2
113,MTFR1L
876,MTLN
1712,MTMR12
56,MTOR
634,MTR
1738,MTREX
959,MTX2
425,MUC1
1446,MUC20
1240,MUSTN1
1474,MXD4
9,MXRA8
1162,MYD88
1320,MYLK
1709,MYO10
983,MYO1B
1524,N4BP2
1299,NAA50
1558,NAAA
980,NAB1
984,NABP1
17,NADK
797,NAGK
1759,NAIP
213,NASP
